id,table,current_name,proposed_name,category,current_description,proposed_description
"\"17037ba7-5463-4cd4-9b79-170ecb84dccf\",\"tools\",\"Ati Bathroom E / Female\",\"Ati Bathroom E / Female\",\"Infrastructure\",\"This is the bathroom at the east which females use\",\"This is the bathroom at the east which females use\""
"\"cceeba47-0cf2-4359-8077-302d4794d7b1\",\"tools\",\"Ati Bathroom W / Male\",\"Ati Bathroom W / Male\",\"Infrastructure\",\"\",\"Infrastructure tool/equipment\""
"\"77a403c1-f6f7-45b4-8982-119ffff81225\",\"tools\",\"Ati Learning Center\",\"Ati Learning Center\",\"Infrastructure\",\"This includes the ATI learning center and items within it.\",\"This includes the ATI learning center and items within it.\""
"\"39cd0fd8-3f9a-4773-9382-3743bbc595be\",\"tools\",\"Auger\",\"Auger\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"b0d0d973-33ad-4727-a4d3-72ca49433b45\",\"tools\",\"Automatic Transfer Switch\",\"Automatic Transfer Switch\",\"Electric Tool\",\"Can be used to auto transfer between sources\",\"Can be used to auto transfer between sources\""
"\"26dd3999-4fb7-4b02-a76b-123537222bd9\",\"tools\",\"Automotive Crims\",\"Automotive Crims\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"363a501e-f25b-49cf-9199-592f292aa697\",\"tools\",\"Axe\",\"Axe\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"d76b48c1-3d8b-45f9-96c0-a784bb0aaa11\",\"tools\",\"Axe\",\"Axe\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"d28be639-eed8-4a25-9d89-485db1f225b1\",\"tools\",\"Axe\",\"Axe\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"7fa64d85-f7c0-4bc9-a51b-ac84914103d8\",\"tools\",\"Azolla Experiment 5cm Water\",\"Azolla Experiment 5cm Water\",\"Container\",\"\nDescription: This pop bottles started with a handful of vermi, and 5cm of mud from our azolla and 5cm of water from our azolla field. It started with 3 green healthy azollas\",\"\nDescription: This pop bottles started with a handful of vermi, and 5cm of mud from our azolla and 5cm of water from our azolla field. It started with 3 green healthy azollas\""
"\"23918fcd-0e68-41c7-9692-66584d6c5cbd\",\"tools\",\"Azolla Field\",\"Azolla Field\",\"Infrastructure\",\"\",\"Infrastructure tool/equipment\""
"\"5d311935-7926-48ce-9a78-d26d51c43bd1\",\"tools\",\"Azolla Water Level Experiment 15cm\",\"Azolla Water Level Experiment 15cm\",\"Container\",\"This pop bottles started with a handful of vermi, and 5cm of mud from our azolla and 15cm of water from our azolla field. It started with 3 green healthy azollas \",\"This pop bottles started with a handful of vermi, and 5cm of mud from our azolla and 15cm of water from our azolla field. It started with 3 green healthy azollas \""
"\"0deabd0c-9861-478f-bcb2-bac50149f967\",\"tools\",\"Baby Wood Clamp\",\"Baby Wood Clamp\",\"\",\"A tiny wood clamp\",\"A tiny wood clamp\""
"\"d867399b-5876-46f7-84f3-c708ce106582\",\"tools\",\"Back Door\",\"Back Door\",\"Infrastructure\",\"Guest house back door\",\"Guest house back door\""
"\"d49d4240-ba7b-49a8-87cd-1625d4ceb08f\",\"tools\",\"Backpack Sprayer\",\"Backpack Sprayer\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"1e06e419-9b9f-4f49-8d83-4d321aa13b22\",\"tools\",\"Backpack Sprayer\",\"Backpack Sprayer\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"12c106f6-5f32-4b2e-8424-f29a5abaee97\",\"tools\",\"Bamboo Basket Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"99a9fe62-e72b-4996-8800-bdef47549680\",\"tools\",\"Bamboo Basket Or Kaing\",\"Bamboo Basket\",\"\",\"\",\"\""
"\"8dd22657-16c1-4e3f-a9b6-0485e7710b48\",\"tools\",\"Bamboo Basket Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"e817d4d5-2bbb-4a18-be06-309d36ee3609\",\"tools\",\"Bamboo Basket Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"94b29650-7d88-4db9-b271-6d5ea95f619c\",\"tools\",\"Bamboo Basket Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"7c92fb47-93cb-451d-a523-2b519c73054e\",\"tools\",\"Bamboo Basket Or Kaing \",\"Bamboo Basket\",\"Container\",\"Bamboo material \",\"Bamboo material \""
"\"21ec31af-7766-408f-a9f0-ecab7ae259cb\",\"tools\",\"Bamboo Baskets Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"89b6d833-15f8-428a-b33f-c9ed4183f219\",\"tools\",\"Bamboo Baskets Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"40edcba3-5618-4971-b1a7-6f05636bb1aa\",\"tools\",\"Bamboo Baskets Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"ebfd197f-64ed-4fe9-914b-6ab8391a14be\",\"tools\",\"Bamboo Baskets Or Kaing\",\"Bamboo Basket\",\"Container\",\"\",\"Container tool/equipment\""
"\"4452e4d8-6832-404a-bf5b-dc362dce1204\",\"tools\",\"Bara\",\"Crow Bar\",\"\",\"Steel made with claw\",\"Steel made with claw\""
"\"62bc90f5-c536-48dd-b839-13d6fbad8147\",\"tools\",\"Bara\",\"Crow Bar\",\"Hand Tools\",\"Steel made\",\"Steel made\""
"\"55f93ef1-d2f0-4eff-8827-07ec882c0956\",\"tools\",\"Bara / Digging Bar\",\"Crow Bar\",\"\",\"Silver handle\",\"Silver handle\""
"\"7e68619b-9506-456e-8ecd-a2489e3652dd\",\"tools\",\"Barako Tricycle \",\"Crow Bar\",\"Vehicle\",\"The farm barako 175cc on our tricycle. Lto registration expires at the end of September.\n\nLto portal number\n22-811204-4559195\",\"The farm barako 175cc on our tricycle. Lto registration expires at the end of September.\n\nLto portal number\n22-811204-4559195\""
"\"5a9d8afb-97d0-459e-acab-6bf835a211f4\",\"tools\",\"Bar Clamp\",\"Bar Clamp\",\"Hand Tools\",\"Rusty\",\"Rusty\""
"\"a800a4dc-6e14-410d-b6c4-7d9d69e7d95f\",\"tools\",\"Barra\",\"Crow Bar\",\"Hand Tools\",\"Rust handle \",\"Rust handle \""
"\"3b0f655e-b49a-466c-9224-657c2b60e7a9\",\"tools\",\"Battery Charger\",\"Battery Charger\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"eed5417b-8095-43a9-b3d3-6f60049d6885\",\"tools\",\"Battery Clamps\",\"Battery Clamps\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"c0629a6b-73e5-4ef9-a639-26f8b35d1c85\",\"tools\",\"Baygon \",\"Baygon \",\"\",\"\",\"\""
"\"97e05d5e-e082-439f-b396-3466c561f408\",\"tools\",\"Belt Bag\",\"Belt Bag\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"26b65593-2506-42ce-8be4-a424103e98b4\",\"tools\",\"Bench Vise\",\"Bench Vise\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"f8307cd0-90e8-4a5c-af0c-f655fd36a1d2\",\"tools\",\"Bicycle Tire Repair Kit\",\"Bicycle Tire Repair Kit\",\"\",\"\",\"\""
"\"2f3bf54d-3e15-40ef-8a75-c1f4c7bee533\",\"tools\",\"Big Bara\",\"Crow Bar\",\"Hand Tools\",\"Rust handle \",\"Rust handle \""
"\"76f0e84f-ab80-4a6d-87df-c69067d4607d\",\"tools\",\"Big Potato Slicer\",\"Big Potato Slicer\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"b7fa17f5-2a5d-4643-972b-d3fff9487a28\",\"tools\",\"Big Tub\",\"Big Tub\",\"Container\",\"Red container \",\"Red container \""
"\"b806a1c1-28f0-4b1a-87b1-a993e6461ec6\",\"tools\",\"Billhook Sickle Machete\",\"Billhook Sickle Machete\",\"Hand Tools\",\"The object in the image is a billhook sickle machete. It has a black blade with a saw-like back and a black and red handle. \nThis type of machete is used for clearing brush and grass. \nThe blade is typically made of carbon steel or high-carbon stainless steel. \nIt is a versatile tool used by gardeners and for yard work. 205 in Roxas.\",\"The object in the image is a billhook sickle machete. It has a black blade with a saw-like back and a black and red handle. \nThis type of machete is used for clearing brush and grass. \nThe blade is typically made of carbon steel or high-carbon stainless steel. \nIt is a versatile tool used by gardeners and for yard work. 205 in Roxas.\""
"\"83e5967e-5f7a-475c-962c-fd317b7e069f\",\"tools\",\"Bir Filing & Payment Log Book\",\"Bir Filing & Payment Log Book\",\"Hand Tools\",\"Simple log book to track BIR submitted payments\",\"Simple log book to track BIR submitted payments\""
"\"d43aaf8a-a5ca-4c02-a857-99c8d799c5ca\",\"tools\",\"Bir Folder\",\"Bir Folder\",\"Container\",\"Has BIR docs we are required to have\",\"Has BIR docs we are required to have\""
"\"4205857b-452c-49c4-ab5e-2836175887e6\",\"tools\",\"Black Cutter \",\"Black Cutter \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"dab39bec-cc42-4e30-9ee0-dafa36866448\",\"tools\",\"Blacklight Uv Flashlight\",\"Blacklight Uv Flashlight\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"999f24e0-ffad-41ca-827c-aa0c8265befe\",\"tools\",\"Blacklight Uv Flashlight\",\"Blacklight Uv Flashlight\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"337b1048-b53c-472c-9499-88071f111058\",\"tools\",\"Blacklight Uv Flashlight\",\"Blacklight Uv Flashlight\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"6e638183-e67f-44d9-a64d-c6de650415e1\",\"tools\",\"Blacklight Uv Flashlight\",\"Blacklight Uv Flashlight\",\"\",\"\",\"\""
"\"7ed59212-993d-4921-bad5-d9bcc207e214\",\"tools\",\"Black Light Uv Spotlight 144 Leds \",\"Black Light Uv Spotlight 144 Leds \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"a555145d-4ca3-46f1-9690-34422ea63bf4\",\"tools\",\"Black Light Uv Spotlight 144 Leds \",\"Black Light Uv Spotlight 144 Leds \",\"Electric Tool\",\"This doesn't look fully water proof.\",\"This doesn't look fully water proof.\""
"\"482e2dc6-6c08-4bce-9bde-9d8be9a3f6b0\",\"tools\",\"Black Plate \",\"Black Plate \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"7a415831-3d24-4c33-8f8c-323e0ba8c906\",\"tools\",\"Blender\",\"Blender\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"7f8b9b1b-d99a-4225-a8aa-14da300b013b\",\"tools\",\"Blood Pressure\",\"Blood Pressure\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"e4cf5d63-ffa1-41f4-a025-05a47a1b9004\",\"tools\",\"Blood Pressure \",\"Blood Pressure \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"3bd61a40-931c-4c22-a15e-d68b0c089b9b\",\"tools\",\"Blood Pressure \",\"Blood Pressure \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"36e0b281-118d-4021-9224-acc1a13d8f06\",\"tools\",\"Blood Pressure Monitor \",\"Blood Pressure Monitor \",\"\",\"\",\"\""
"\"e92f4b22-6d6b-4703-a6db-203270b283c6\",\"tools\",\"Blower Fan\",\"Blower Fan\",\"Combustion Engine\",\"\",\"Combustion Engine tool/equipment\""
"\"17d810f2-19c5-43d8-9f57-877c92dfe9a7\",\"tools\",\"Blue Bag\",\"Blue Bag\",\"Container\",\"Has table cloth in it currently.\",\"Has table cloth in it currently.\""
"\"0bf3af6e-cf56-4752-916e-4222e7db95cd\",\"tools\",\"Blue Bucket\",\"Blue Bucket\",\"Container\",\"5 gallon bucket\",\"5 gallon bucket\""
"\"311693f3-ea77-459f-863d-2ff821594b26\",\"tools\",\"Boots.. Size 42 \",\"Boots.. Size 42 \",\"Field\",\"\",\"Field tool/equipment\""
"\"a94a8ed8-50a8-4d1f-adb0-8f326edfbcfb\",\"tools\",\"Boots.. Size 42 \",\"Boots.. Size 42 \",\"Field\",\"\",\"Field tool/equipment\""
"\"8498d436-282f-422b-8210-954276b4f9a3\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"a72ddec0-cca4-4364-9ec0-006926478b56\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"2c7901df-148c-438b-bf16-2ea2fb308305\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"e000d801-2697-4203-b2a8-5cc9e2687f95\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"73cb8494-6a4b-49a6-8771-96dca291e559\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"5060c9c5-7b87-469a-9de2-64b193a8577c\",\"tools\",\"Boots.. Size 43\",\"Boots.. Size 43\",\"Field\",\"\",\"Field tool/equipment\""
"\"1755084a-c943-4d79-b0dc-4ac0333a21c8\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"3d1d0b26-5f0a-4e87-b9f5-fff4075dab99\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"a54a4fa8-5ee7-4cab-b721-a88969f5013f\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"a26266bc-0e89-4adc-ad34-3ab07d5037f1\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"2e5e1295-ca05-4bbe-a113-f98771eb08b0\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"6a494744-9291-47e3-96c4-f5b1dff4a3c5\",\"tools\",\"Boots.. Size 44\",\"Boots.. Size 44\",\"Field\",\"\",\"Field tool/equipment\""
"\"6fc9c2c4-17a2-4f8d-beab-3c94d166fcae\",\"tools\",\"Boots.. Size 45\",\"Boots.. Size 45\",\"Field\",\"\",\"Field tool/equipment\""
"\"cda03655-0f80-4db5-a8f6-b65e9dc2af85\",\"tools\",\"Boots.. Size 45\",\"Boots.. Size 45\",\"Field\",\"\",\"Field tool/equipment\""
"\"446f1cc9-400d-4dec-801f-2a1e7a6d81ae\",\"tools\",\"Boots.. Size 45\",\"Boots.. Size 45\",\"Field\",\"\",\"Field tool/equipment\""
"\"9cefb8a7-97a5-4377-a3d7-1b7c9bb64be7\",\"tools\",\"Boots.. Size 45\",\"Boots.. Size 45\",\"Field\",\"\",\"Field tool/equipment\""
"\"b1c2ca27-aa76-43cd-99a8-057d1af69afe\",\"tools\",\"Bosca Fog Machine 1500w+3led\",\"Bosca Fog Machine 1500w+3led\",\"Electric Tool\",\"This was purchased but has not yet arrived. I want to test it that it is the claimed wattage.\",\"This was purchased but has not yet arrived. I want to test it that it is the claimed wattage.\""
"\"7aafd3bc-0fcf-436a-9899-5f14c52a0aec\",\"tools\",\"Bow Blade\",\"Bow Blade\",\"Hand Tools\",\"little rush\",\"little rush\""
"\"efda8588-342a-47c6-9afd-2251c923772a\",\"tools\",\"Bow Saw\",\"Bow Saw\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"310645d9-13fe-4564-b3ea-fc67ded2f693\",\"tools\",\"Bow Saw\",\"Bow Saw\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"72b56afe-8b1c-466b-816e-db207dd5efe0\",\"tools\",\"Branch Cutter\",\"Branch Cutter\",\"Hand Tools\",\"The handle is bent on the side that is sharp\",\"The handle is bent on the side that is sharp\""
"\"a20a0b13-2dfc-4da1-9128-93bd6c4e0e3d\",\"tools\",\"Branch Cutter\",\"Branch Cutter\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"0d2a3486-dbd8-4877-a4ad-6c7829ab78ff\",\"tools\",\"Brush\",\"Brush\",\"Hand Tools\",\"Long handle \",\"Long handle \""
"\"49f16266-53b0-431e-ab13-7dba544eb378\",\"tools\",\"Brush \",\"Brush \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"5096d35a-e500-4aff-8bea-d55721dfc736\",\"tools\",\"Bubble Level\",\"Bubble Level\",\"\",\"\",\"\""
"\"3e522f8a-71c6-437f-9bd9-a80328894899\",\"tools\",\"Cable Coy\",\"Cable Coy\",\"Hand Tools\",\"Red\",\"Red\""
"\"455ba7a9-1e6c-4b7e-95f8-a4fbe894118a\",\"tools\",\"Caliper\",\"Caliper\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"2355982a-2c5f-4bce-a3f6-ef4f4a46e981\",\"tools\",\"Caliper \",\"Caliper \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"01faff34-16ea-4e9f-b2c8-56885868ef0e\",\"tools\",\"Camera\",\"Camera\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"aaec7644-276f-47f5-b761-b28b76954fb2\",\"tools\",\"Camping Cooking Ware\",\"Camping Cooking Ware\",\"\",\"\",\"\""
"\"003b8ffd-2af2-4ca4-9c6d-626753a4f10a\",\"tools\",\"Camping Stove\",\"Camping Stove\",\"Recreation\",\"In black bag\",\"In black bag\""
"\"81942c5e-366c-411e-9488-dbd58f42f83f\",\"tools\",\"Carboy\",\"Carboy\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"aa90b80c-424e-4bac-80d0-570b00370fdb\",\"tools\",\"Carboy\",\"Carboy\",\"Hand Tools\",\"20 liters carboy\",\"20 liters carboy\""
"\"c55cde5a-446c-49da-bfba-8324a2d82131\",\"tools\",\"Carboy\",\"Carboy\",\"\",\"\",\"\""
"\"4853a124-be28-4d0a-8159-849f3605546e\",\"tools\",\"Carboy\",\"Carboy\",\"\",\"\",\"\""
"\"8a6134a8-aff2-441c-b8df-b986f91ab348\",\"tools\",\"Cart\",\"Cart\",\"\",\"Orange color \",\"Orange color \""
"\"2fa84981-2dde-4a8b-aaf0-05bee778ea6a\",\"tools\",\"Cat Five Crimping Tool\",\"Cat Five Crimping Tool\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"06da2798-a3e8-41af-9bec-7d41f050a0a3\",\"tools\",\"Cat Five Crimping Tool\",\"Cat Five Crimping Tool\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"02161598-db28-493c-a9ad-44c0994a2b5d\",\"tools\",\"Caulking Gun\",\"Caulking Gun\",\"Hand Tools\",\"A tube can't quite fit in the gun without cutting the base of the caulk. Light duty\",\"A tube can't quite fit in the gun without cutting the base of the caulk. Light duty\""
"\"e67b1587-10bd-409d-8a2c-a2d56831d633\",\"tools\",\"Cement Mixer\",\"Cement Mixer\",\"\",\"\",\"\""
"\"16f43e4d-a738-4cda-bf0c-77f51ca5ac1a\",\"tools\",\"Cement Mixer\",\"Cement Mixer\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"7536f98b-3072-4185-8b14-dbedf5f37f55\",\"tools\",\"Chain Block\",\"Chain Block\",\"\",\"\",\"\""
"\"75e300d3-01d8-4179-9dff-17bab0648b51\",\"tools\",\"Chain Saw Chainsaw\",\"Chain Saw Chainsaw\",\"\",\"We looked it up and chainsaw is one word in modern dictionaries but old ones use two words chain saw\",\"We looked it up and chainsaw is one word in modern dictionaries but old ones use two words chain saw\""
"\"6f452779-4aa2-4a0c-9432-38ca790fcb35\",\"tools\",\"Chalk Line\",\"Chalk Line\",\"Hand Tools\",\"Chalk line from Stefan's personal collection in the US.\",\"Chalk line from Stefan's personal collection in the US.\""
"\"91c0172f-9cd0-4c5f-8ed5-87f407cedea5\",\"tools\",\"Chalk Line Reel\",\"Chalk Line Reel\",\"Hand Tools\",\"For long line\",\"For long line\""
"\"27dd9517-8962-4018-9249-1dbb297893cf\",\"tools\",\"Chalk Line Reel\",\"Chalk Line Reel\",\"Hand Tools\",\"blue\",\"blue\""
"\"42edb142-9d5f-40b3-b65a-2d152d90609b\",\"tools\",\"Channel Lock\",\"Channel Lock\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"358984c4-3d97-4d71-9d39-17b3b2664571\",\"tools\",\"Charge Controller \",\"Charge Controller \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"65e6e200-8627-4417-b864-ec6e89a48b42\",\"tools\",\"Charge Controller Pvsc30a\",\"Charge Controller Pvsc30a\",\"Electric Tool\",\"12V/24V, 50V max PV\n30A out max\",\"12V/24V, 50V max PV\n30A out max\""
"\"abf1b604-67e4-4ed5-8559-82ceb6a3b5ff\",\"tools\",\"Chefs Horizon\",\"Chefs Horizon\",\"Field\",\"This is the field to the east of the path going to ATI where a chefs kitchen will be placed. The intent of this area is to place items that can be used in the kitchen.\",\"This is the field to the east of the path going to ATI where a chefs kitchen will be placed. The intent of this area is to place items that can be used in the kitchen.\""
"\"4ee38010-2033-499e-8761-103dad1d36b4\",\"tools\",\"Chicken Coup\",\"Chicken Coup\",\"Infrastructure\",\"Near the guest house \",\"Near the guest house \""
"\"0a4ff8f8-4249-4856-9c34-a06ecbeef6e3\",\"tools\",\"Chisel \",\"Chisel \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"f375a432-dea6-4c4b-87d2-e8d137df7b86\",\"tools\",\"Chuck Key\",\"Chuck Key\",\"Hand Tools\",\"Black color \",\"Black color \""
"\"1a9e2316-118b-4213-8e34-b165c2c23b08\",\"tools\",\"Cigarette Lighter Power Supply \",\"Cigarette Lighter Power Supply \",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"9156a7c3-e2c9-43be-8aac-13b274acb7d4\",\"tools\",\"Clamp\",\"Clamp\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"4a099f2c-963b-4512-a377-dd41697fb9d5\",\"tools\",\"Claw Hammer\",\"Claw Hammer\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"4bbf656f-40ee-422f-bc88-cca22ca7528d\",\"tools\",\"Claw Hammer\",\"Claw Hammer\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"07c7cb3c-a1ef-4aff-8196-fea739514c7a\",\"tools\",\"Coconut Grater\",\"Coconut Grater\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"8c5d4c10-87a4-453a-a725-cb38db9f0385\",\"tools\",\"Coconut Presser\",\"Coconut Presser\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"e308db4b-d93d-4365-bf9e-e917324ea810\",\"tools\",\"Coconut Sickle \",\"Coconut Sickle \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"6780701b-3a71-48ef-afbd-67160f77a2d0\",\"tools\",\"Coconut Sickle \",\"Coconut Sickle \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"48c5b9c5-0524-48c7-a6af-15a50de4d63a\",\"tools\",\"Coconut Sickle \",\"Coconut Sickle \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"695591e5-6d34-43e4-a77a-480394e35f24\",\"tools\",\"Coconut Sickle \",\"Coconut Sickle \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"36eee5b3-f4c8-4725-acb6-abed3ade781a\",\"tools\",\"Coconut Sickle \",\"Coconut Sickle \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"324fbdf2-b029-47ae-93cb-6888cecb9aad\",\"tools\",\"Coconut Tree Climbing \",\"Coconut Tree Climbing \",\"\",\"\",\"\""
"\"92221450-2d1a-40e8-aaf0-950ba21e76ba\",\"tools\",\"Coconut Tree Climbing \",\"Coconut Tree Climbing \",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
"\"0efc1583-4d2e-4c8e-a35e-3a9c2b05decd\",\"tools\",\"Coffee Grinder\",\"Coffee Grinder\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"4d704925-c243-4e0a-9814-a091ae85891f\",\"tools\",\"Coffee Maker\",\"Coffee Maker\",\"Electric Tool\",\"\",\"Electric Tool tool/equipment\""
"\"3aee4ee1-c19f-4351-a152-77e650faa9f8\",\"tools\",\"Compass\",\"Compass\",\"Hand Tools\",\"\",\"Hand Tools tool/equipment\""
